ад імя
адначасна з
адначасова з
адпаведна з
асобна ад
бліжэй ад
бліжэй да
бліжэй к
бліжэй каля
бліжэй ля
бліжэй над
бліжэй пры
блізка ад
услед за
за кошт
у карысць
у супрацьлегласць
у час
з дапамогай
не лічачы
блізка да
блізка к
блізка каля
блізка ля
блізка над
блізка пры
водаль ад
воддаль ад
высака над
высока над
высока па-над
высока ў
далей ад
далей да
далей за
далей на
далей у
далёка ад
далёка да
далёка за
далёка на
далёка у
з боку
з боку ад
з гадоў
з дапамогай
з краю
з ліку
з мэтай
з нагоды
з прычыны
з цягам
з часоў
з часу
за адсутнасцю
за выключэннем
за кошт
заадно з
збоку ад
згодна з
здалёк ад
здалёк за
на адрас
на асновах
на аснове
на базе
на баку
на бок
на змен
на змену
на манер
на паверсе
на паказ
на пераддзенні
на працягу
на чале
на чале з
на шляхах
на шляху
наводдалек ад
наводдаль ад
наводшыб ад
наводшыбе ад
назад ад
наконт
накшталт
налева ад
напал з
напалам з
напаў з
наперад ад
наперадзе ад
наперадзе за
наперарэз
напрасткі ад
напрост к
нараўне з
нараўні з
нароўні з
настрэчу к
насустрач да
насустрач к
насустрэч да
насустрэч к
насустрэчу да
насустрэчу к
наўзахват з
наўзахваткі з
наўздагон за
наўздагонак за
наўздагонкі за
наўкос ад
наўскасы ад
наўскасяк ад
наўскос ад
неадлучна ад
недалёка ад
недалёка за
недалёка на
недалеч ад
незалежна ад
непадалёк ад
непадалёку ад
непадалёчку ад
нізка да
нізка к
нізка над
па лініі
па меры
па поваду
па пытанню
па шляху
па шляху да
паводдаль ад
падалей ад
падалечай ад
падыспад
паралельна з
параўнальна з
параўнаўча з
побач з
побач ля
побачкі з
поруч з
пры адсутнасці
разам з
раўналежна з
следам за
спадобна а
сумесна з
супольна з
у адказ на
у адносінах да
у адпаведнасці з
у адрозненне ад
у аснове
у аснову
у асобе
у баку ад
у барацьбе за
у бок
у бок ад
у бок да
у воддалі ад
у выглядзе
